omimId,moi
OMIM:100070,AD;AR
OMIM:100100,AR
OMIM:100200,AD
OMIM:100300,AD
OMIM:100600,AD
OMIM:100700,AD
OMIM:100800,AD
OMIM:100820,AD
OMIM:101000,AD
OMIM:101200,AD
OMIM:101400,AD
OMIM:101600,AD
OMIM:101800,AD
OMIM:101805,AD
OMIM:101840,AD
OMIM:101850,AD
OMIM:101900,AD
OMIM:102000,AD
OMIM:102100,AD
OMIM:102150,AD
OMIM:102200,AD
OMIM:102300,AD
OMIM:102350,AD
OMIM:102370,AD
OMIM:102400,AD
OMIM:102500,AD
OMIM:102510,AD
OMIM:102520,AD
OMIM:102530,AR
OMIM:102650,AD
OMIM:102660,AD
OMIM:102700,AR
OMIM:102800,AD
OMIM:102900,AD
OMIM:103050,AR
OMIM:103100,AD
OMIM:103200,AD
OMIM:103285,AD
OMIM:103300,AD
OMIM:103420,AD
OMIM:103500,AD
OMIM:103580,AD
OMIM:103900,AD
OMIM:103920,AD
OMIM:104100,AD
OMIM:104110,AD
OMIM:104130,AD
OMIM:104200,AD
OMIM:104290,AD
OMIM:104300,AD
OMIM:104310,AD
OMIM:104350,AD
OMIM:104400,AD
OMIM:104500,AD
OMIM:104510,AD
OMIM:104530,AD
OMIM:104570,AD
OMIM:105120,AD
OMIM:105150,AD
OMIM:105200,AD
OMIM:105210,AD
OMIM:105250,AD
OMIM:105300,AD
OMIM:105400,AD;AR
OMIM:105500,AD
OMIM:105550,AD
OMIM:105580,AD
OMIM:105600,AD
OMIM:105650,AD
OMIM:105800,AD
OMIM:105805,AD
OMIM:105830,AD
OMIM:106050,AD
OMIM:106070,AD
OMIM:106100,AD;AR
OMIM:106190,AR
OMIM:106210,AD
OMIM:106220,AD
OMIM:106230,AD
OMIM:106250,AD
OMIM:106260,AD
OMIM:106280,AD
OMIM:106400,AD
OMIM:106500,AD
OMIM:106600,AD
OMIM:106700,AD
OMIM:106750,AD
OMIM:106900,AD
OMIM:106995,AD
OMIM:107000,AD
OMIM:107100,AD
OMIM:107200,AD
OMIM:107250,AD
OMIM:107320,AD
OMIM:107480,AD
OMIM:107500,AD
OMIM:107550,AD
OMIM:107600,AD
OMIM:107640,AD
OMIM:107650,AD
OMIM:107900,AD
OMIM:107970,AD
OMIM:108000,AD
OMIM:108120,AD
OMIM:108145,AD
OMIM:108200,AD
OMIM:108300,AD
OMIM:108420,AR
OMIM:108450,AD
OMIM:108500,AD
OMIM:108600,AD
OMIM:108650,AD
OMIM:108700,AD
OMIM:108720,AD
OMIM:108721,AD
OMIM:108725,AD
OMIM:108760,AD
OMIM:108770,AD
OMIM:108800,AD
OMIM:108900,AD
OMIM:108950,AD
OMIM:108985,AD
OMIM:109000,AD
OMIM:109050,AD
OMIM:109100,AD
OMIM:109120,AD
OMIM:109130,AD
OMIM:109150,AD
OMIM:109350,AD
OMIM:109400,AD
OMIM:109500,AD
OMIM:109543,AD
OMIM:109650,AR
OMIM:109720,AD
OMIM:109730,AD
OMIM:109800,AD
OMIM:109900,AD
OMIM:110000,AD
OMIM:110050,AD
OMIM:110100,AD
OMIM:110150,AD
OMIM:112200,AD
OMIM:112240,AD
OMIM:112250,AD
OMIM:112270,AD
OMIM:112300,AD
OMIM:112310,AD
OMIM:112350,AD
OMIM:112370,AD
OMIM:112410,AD
OMIM:112450,AD
OMIM:112500,AD
OMIM:112600,AD
OMIM:112700,AD
OMIM:112800,AD
OMIM:112910,AD
OMIM:113000,AD
OMIM:113100,AD
OMIM:113200,AD
OMIM:113300,AD
OMIM:113301,AD
OMIM:113310,AD
OMIM:113400,AD
OMIM:113477,AD
OMIM:113500,AD
OMIM:113600,AD
OMIM:113610,AD
OMIM:113620,AD
OMIM:113650,AD
OMIM:113700,XLD;XLR;AD
OMIM:113750,AR
OMIM:113800,AD;AR
OMIM:113900,AD
OMIM:113950,AD
OMIM:114000,AD
OMIM:114030,AD
OMIM:114065,AD
OMIM:114100,AD;AR
OMIM:114140,AD
OMIM:114150,AD
OMIM:114200,AD
OMIM:114290,AD
OMIM:114300,AD
OMIM:114450,AD
OMIM:114480,AD
OMIM:114500,AD
OMIM:114580,AD
OMIM:114600,AD
OMIM:114650,AD
OMIM:114900,AD
OMIM:115000,AD
OMIM:115080,AD
OMIM:115150,AD
OMIM:115195,AD
OMIM:115196,AD
OMIM:115197,AD;AR
OMIM:115200,AD
OMIM:115210,AD
OMIM:115250,AD
OMIM:115300,AD
OMIM:115310,AD
OMIM:115400,AD
OMIM:115430,AD
OMIM:115470,AD
OMIM:115650,AD
OMIM:115660,AD
OMIM:115665,AD
OMIM:115700,AD
OMIM:115800,AD
OMIM:115900,AD
OMIM:116100,AD
OMIM:116200,AD
OMIM:116300,AD
OMIM:116400,AD
OMIM:116600,AD
OMIM:116700,AR
OMIM:116800,AD
OMIM:116860,AD
OMIM:116870,AD
OMIM:116920,AR
OMIM:117000,AD;AR
OMIM:117210,AD
OMIM:117300,AD
OMIM:117360,AD
OMIM:117550,AD
OMIM:117650,AD
OMIM:117850,AD
OMIM:117900,AD
OMIM:118000,AD
OMIM:118005,AD
OMIM:118100,AD
OMIM:118200,AD
OMIM:118210,AD
OMIM:118220,AD
OMIM:118300,AD
OMIM:118350,AD
OMIM:118400,AD
OMIM:118420,AD
OMIM:118450,AD
OMIM:118600,AD
OMIM:118610,AD
OMIM:118650,AD
OMIM:118651,AD
OMIM:118700,AD
OMIM:118750,AD
OMIM:118800,AD
OMIM:118830,AD
OMIM:119100,AD
OMIM:119300,AD
OMIM:119500,AD
OMIM:119530,AD
OMIM:119540,AD
OMIM:119550,AD
OMIM:119570,AD
OMIM:119580,AD
OMIM:119600,AD
OMIM:119650,AD
OMIM:119800,AD
OMIM:119900,AR
OMIM:119915,AD
OMIM:120000,AD
OMIM:120040,AD
